opcode 1984, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99203
opcode 580, rd 1, rt 1, rn 3, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 3, braddr 16777313
opcode 580, rd 2, rt 2, rn 4, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 4, braddr 16777346
opcode 37, rd 2, rt 2, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -30
opcode 1112, rd 3, rt 3, rn 0, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63488, braddr -14745597
opcode 1986, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195200
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 1986, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 133148, braddr 4260738
opcode 1986, rd 4, rt 4, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 135196, braddr 4326276
opcode 1984, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99203
opcode 1691, rd 10, rt 10, rn 3, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196707, braddr -10482582
opcode 1112, rd 10, rt 10, rn 0, rm 10, shamt 0, aluimm 640, dtaddr 160, condaddr 20480, braddr -16121846
opcode 1986, rd 11, rt 11, rn 10, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131082, braddr 4194635
opcode 1112, rd 12, rt 12, rn 4, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63492, braddr -14745460
opcode 1112, rd 4, rt 4, rn 11, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63499, braddr -14745244
opcode 1984, rd 12, rt 12, rn 10, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 10, braddr 332
opcode 1624, rd 11, rt 11, rn 11, rm 11, shamt 0, aluimm 704, dtaddr 176, condaddr 22539, braddr -16055957
opcode 1984, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 896
opcode 1984, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33665
opcode 1984, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2076, braddr 66434
opcode 1984, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99203
opcode 1984, rd 4, rt 4, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 4124, braddr 131972
opcode 5, rd 1, rt 1, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -31
opcode 1986, rd 30, rt 30, rn 28, rm 2, shamt 32, aluimm 160, dtaddr 40, condaddr 136220, braddr 4359070
opcode 580, rd 28, rt 28, rn 28, rm 0, shamt 48, aluimm 48, dtaddr 12, condaddr 1564, braddr 16827292
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 580, rd 2, rt 2, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr 131071, braddr 20971490
opcode 836, rd 28, rt 28, rn 28, rm 0, shamt 48, aluimm 48, dtaddr 12, condaddr 1564, braddr 16827292
opcode 1984, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 896
opcode 1984, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33665
opcode 1984, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2076, braddr 66434
opcode 1984, rd 3, rt 3, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 3100, braddr 99203
opcode 1984, rd 4, rt 4, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 4124, braddr 131972
opcode 1984, rd 30, rt 30, rn 28, rm 2, shamt 32, aluimm 160, dtaddr 40, condaddr 5148, braddr 164766
opcode 580, rd 2, rt 2, rn 2, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 34, braddr 16778306
opcode 836, rd 9, rt 9, rn 1, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 33, braddr 16778281
opcode 1880, rd 31, rt 31, rn 2, rm 9, shamt 0, aluimm 576, dtaddr 144, condaddr 18434, braddr -16187297
opcode 84, rd 10, rt 10, rn 15, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 47, braddr 1514
opcode 1691, rd 10, rt 10, rn 2, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196706, braddr -10482614
opcode 1112, rd 10, rt 10, rn 0, rm 10, shamt 0, aluimm 640, dtaddr 160, condaddr 20480, braddr -16121846
opcode 1986, rd 3, rt 3, rn 10, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131082, braddr 4194627
opcode 1984, rd 2, rt 2, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2076, braddr 66434
